methodology_version,language,block_code,block_order,block_title,block_weight,block_is_active,question_order,question_key,legacy_ai_context_label,legacy_bubble_unique_id,question_text,question_type,question_type_source,question_weight,is_required,is_active,reverse_score,choices,help_text
RU-2.0,ru,company_info,1,Общая информация,0,true,1,main_management_problem,main_management_problem,1783585311511x612474246887106960,"Какую главную управленческую проблему Вы хотите решить в ближайшие 3–6 месяцев? Опишите ее причины и объясните, почему Вы ставите ей высший приоритет (Ваши развернутые ответы позволят сделать отчет более содержательным).",text,Текстовый ответ,0,true,true,false,,
RU-2.0,ru,company_info,1,Общая информация,0,true,2,main_company_goal,main_company_goal,1783585557438x164540526451292030,Назовите три главные цели компании на ближайший год,text,Текстовый ответ,0,true,true,false,,
RU-2.0,ru,strategy,2,Стратегия,1,true,1,strategy_clarity,strategy_clarity,1783585704247x925259974360061300,"У компании есть ясная стратегия: мы можем кратко объяснить, где и за счёт чего собираемся выигрывать, а также от каких направлений и возможностей сознательно отказываемся.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,strategy,2,Стратегия,1,true,2,strategy_alignment,strategy_alignment,1783585809659x505626687132816100,"Мы чётко понимаем, какую ценность создаём для целевых клиентов, какую их проблему решаем и почему они выбирают нас среди альтернатив.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,strategy,2,Стратегия,1,true,3,strategy_resources_focused,strategy_resources_focused,1787217254499x319983868606569500,"Мы осознанно определили приоритетные рынки, клиентские сегменты, продукты и каналы, на которых концентрируем ресурсы, а также направления, которые не считаем приоритетными.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,strategy,2,Стратегия,1,true,4,strategy_market_search,strategy_market_search,1787217574783x925231579147111700,"У компании есть 3–5 ключевых стратегических целей на ближайшие 2–3 года, и для каждой определены измеримые результаты, по которым можно объективно оценить её достижение.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,strategy,2,Стратегия,1,true,5,strategy_competitive_advantages,strategy_competitive_advantages,1787217822227x446801821848398460,"Мы регулярно анализируем ключевые внешние изменения, предположения и риски стратегии, рассматриваем возможные сценарии развития и понимаем, при каких условиях стратегию потребуется пересмотреть.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,strategy,2,Стратегия,1,true,6,strategy_decision_making_priorities,strategy_decision-making_priorities,1787218172556x115081928390192270,"Мы понимаем, какие компетенции, ресурсы, активы и особенности бизнес-модели создают наши устойчивые конкурентные преимущества, и целенаправленно их усиливаем.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,strategy,2,Стратегия,1,true,7,strategy_resources_priority,strategy_resources_priority,1787218440490x978373215555111400,"Основные проекты и инициативы компании непосредственно связаны со стратегическими целями; инициативы, не создающие стратегической ценности, не получают приоритетных ресурсов.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,strategy,2,Стратегия,1,true,8,strategy_responsability,strategy_responsability,1787219016834x153021573073433000,"Мы понимаем, какие люди, компетенции, финансовые и другие ресурсы необходимы для реализации стратегии, видим существующие дефициты и распределяем ресурсы в соответствии со стратегическими приоритетами.",scale_0_4,Шкала 0–4,1,true,true,false,,
