block_code,question_order,field,legacy_value,cleaned_value,reason
company_info,1,text,"Какую главную управленческую проблему вы хотите решить в ближайшие 3 месяца? 
Почему Вы ставите ей высший приоритет?",Какую главную управленческую проблему вы хотите решить в ближайшие 3 месяца? Почему Вы ставите ей высший приоритет?,Удалены лишние/концевые пробелы и переносы строк.
strategy,2,text,Члены управленческой команды одинаково понимают стратегические приоритеты компании ,Члены управленческой команды одинаково понимают стратегические приоритеты компании,Удалены лишние/концевые пробелы и переносы строк.
processes,2,ai_context_label,process_responsibility ,process_responsibility,Техническая нормализация ключа в формат [a-z0-9_]+ без изменения смысла.
processes,2,text,"Для каждого критически важного процесса назначен владелец, отвечающий за его результат ","Для каждого критически важного процесса назначен владелец, отвечающий за его результат",Удалены лишние/концевые пробелы и переносы строк.
strategy,4,text,"Стратегические цели основаны глубоком на понимании клиентов, рынка и конкурентной среды","Стратегические цели основаны на глубоком понимании клиентов, рынка и конкурентной среды",Исправлена очевидная опечатка без изменения смысла.
strategy,6,ai_context_label,strategy_decision-making_priorities,strategy_decision_making_priorities,Техническая нормализация ключа в формат [a-z0-9_]+ без изменения смысла.
structure,4,ai_context_label,decision-making_procedure,decision_making_procedure,Техническая нормализация ключа в формат [a-z0-9_]+ без изменения смысла.
processes,5,ai_context_label,rules&standards_established,rules_and_standards_established,Техническая нормализация ключа в формат [a-z0-9_]+ без изменения смысла.
processes,6,text,"Ключевые процессы имеют измеримые показатели результата, качества, скорости, стоимости ","Ключевые процессы имеют измеримые показатели результата, качества, скорости, стоимости",Удалены лишние/концевые пробелы и переносы строк.
processes,8,text,"Отклонения и сбои в процессах анализируются системно, при этом выявляются корневые причины и принимаются меры по совершенствованию ","Отклонения и сбои в процессах анализируются системно, при этом выявляются корневые причины и принимаются меры по совершенствованию",Удалены лишние/концевые пробелы и переносы строк.
goals_kpi,3,text,Руководители. подразделений имеют измеримые критерии успеха их деятельности,Руководители подразделений имеют измеримые критерии успеха их деятельности,Исправлена очевидная опечатка без изменения смысла.
goals_kpi,7,text,Фактические данные по ключевым показателям вызывают доверие и доступны руководителям своевременно ,Фактические данные по ключевым показателям вызывают доверие и доступны руководителям своевременно,Удалены лишние/концевые пробелы и переносы строк.
goals_kpi,8,text,"Показатели разных подразделений не не конфликтуют между собой, не противоречат интересам компании","Показатели разных подразделений не конфликтуют между собой, не противоречат интересам компании",Исправлена очевидная опечатка без изменения смысла.
goals_kpi,10,ai_context_label,decisions_on_indicators_deviations ,decisions_on_indicators_deviations,Техническая нормализация ключа в формат [a-z0-9_]+ без изменения смысла.
management_rhythm,4,ai_context_label,decisions_have_deadlines_persons ,decisions_have_deadlines_persons,Техническая нормализация ключа в формат [a-z0-9_]+ без изменения смысла.
team,10,ai_context_label,the_team _can_act_independently,the_team_can_act_independently,Техническая нормализация ключа в формат [a-z0-9_]+ без изменения смысла.
motivation,10,ai_context_label,It's_not_customary_shift_responsibility,its_not_customary_shift_responsibility,Техническая нормализация ключа в формат [a-z0-9_]+ без изменения смысла.
culture,4,text,Большинство сотрудников предлагаю какие-либо улучшения и инициативы,Большинство сотрудников предлагают какие-либо улучшения и инициативы,Исправлена очевидная опечатка без изменения смысла.
